E1001 ,John,Smith,jsmith@gmail.com,408-555-5555,650-231-9257,550 Sun St.,Sunnyvale,CA,94087
E1002,John,Smith,j.smith@gmail.com,408-555-5555,650-231-9257,550 Sun St.,Sunnyvale,CA,94087
E1003,John,Smith,jsmith@yahoo.com,408-555-5555,650-231-9257,550 Sun St.,Sunnyvale,CA,94087
E1004,John,Smith,jsmith@msn.com,408-555-5555,650-231-9257,550 Sun St.,Sunnyvale,CA,94087
E1005 ,Bob,Sanders,bs@gmail.com,408-555-5555,650-231-9257,550 Sun St.,Sunnyvale,CA,94087
E1006,Sammy,Sun,ssun@gmail.com,408-555-5555,650-231-9257,550 Sun St.,Sunnyvale,CA,94087
E1007 ,Albert,Din,aDin@gmail.com,408-555-5555,650-231-9257,550 Sun St.,Sunnyvale,CA,94087
E1008 ,Vishal,Gupta,vgupta@gmail.com,408-555-5555,650-231-9257,550 Sun St.,Sunnyvale,CA,94087
E1009 ,Darren,Bryant,darrenb@gmail.com,408-555-5555,650-231-9257,550 Sun St.,Sunnyvale,CA,94087
E1010 ,Walter,Wade,wade@gmail.com,408-555-5555,650-231-9257,550 Sun St.,Sunnyvale,CA,94087
